0.05478126535494636 0.9984365600342948 0.011110740434111796 -0.10287068727231331	-0.8447959584568224 0.04041392726494947 0.533560215025485 -1.0022405760846484	0.5322769970054404 -0.038615412336353835 0.8456890967660418 -0.03863241311885757	0.0 0.0 0.0 1.0
0.05478126535494636 0.9984365600342948 0.011110740434111796 -0.10287068727231331	-0.8447959584568224 0.04041392726494947 0.533560215025485 -1.0022405760846484	0.5322769970054404 -0.038615412336353835 0.8456890967660418 -0.03863241311885757	0.0 0.0 0.0 1.0
-0.102870687 -0.102870687 -0.102870687 -0.102870687	-0.102870687 -0.102870687 -0.102870687 -0.102870687	-0.102870687 -0.102870687 -0.102870687 -0.102870687	-0.102870687 -0.102870687 -0.102870687 -0.102870687
0.054781265 0.998436560 0.011110740 -0.102870687	-0.844795958 0.040413927 0.533560215 -1.002240576	0.532276997 -0.038615412 0.845689097 -0.038632413	0.000000000 0.000000000 0.000000000 1.000000000
0.054781265 0.998436560 0.011110740 -0.102870687	-0.844795958 0.040413927 0.533560215 -1.002240576	0.532276997 -0.038615412 0.845689097 -0.038632413	0.000000000 0.000000000 0.000000000 1.000000000
0.054781265 -0.844795958 0.532276997 -0.820490257	0.998436560 0.040413927 -0.038615412 0.141722526	0.011110740 0.533560215 0.845689097 0.568569677	0.000000000 0.000000000 0.000000000 1.000000000
0.668588163 -0.021130664 0.743332606 -0.024646241	0.011804309 0.999771828 0.017803096 -0.085957578	-0.743539190 -0.003128411 0.668685043 0.674312521	0.000000000 0.000000000 0.000000000 1.000000000
0.668588163 -0.021130664 0.743332606 -0.024646241	0.011804309 0.999771828 0.017803096 -0.085957578	-0.743539190 -0.003128411 0.668685043 0.674312521	0.000000000 0.000000000 0.000000000 1.000000000
0.668588163 -0.021130664 0.743332606 -0.024646241	0.011804309 0.999771828 0.017803096 -0.085957578	-0.743539190 -0.003128411 0.668685043 0.674312521	0.000000000 0.000000000 0.000000000 1.000000000
0.668588163 -0.021130664 0.743332606 -0.024646241	0.011804309 0.999771828 0.017803096 -0.085957578	-0.743539190 -0.003128411 0.668685043 0.674312521	0.000000000 0.000000000 0.000000000 1.000000000
0.993546989 0.054356941 -0.099547494 0.020323315	-0.041275985 0.990779334 0.129044971 0.057290808	0.105644090 -0.124103322 0.986629460 -0.067694663	0.000000000 0.000000000 0.000000000 1.000000000
0.668588163 -0.021130664 0.743332606 -0.024646241	0.011804309 0.999771828 0.017803096 -0.085957578	-0.743539190 -0.003128411 0.668685043 0.674312521	0.000000000 0.000000000 0.000000000 1.000000000
0.997615718 0.022010873 -0.065409484 -0.008550821	-0.024055299 0.999241153 -0.030634314 0.150654270	0.064685561 0.032134718 0.997388158 -0.087675690	0.000000000 0.000000000 0.000000000 1.000000000
0.668588163 -0.021130664 0.743332606 -0.024646241	0.011804309 0.999771828 0.017803096 -0.085957578	-0.743539190 -0.003128411 0.668685043 0.674312521	0.000000000 0.000000000 0.000000000 1.000000000
0.997615718 0.022010873 -0.065409484 -0.008550821	-0.024055299 0.999241153 -0.030634314 0.150654270	0.064685561 0.032134718 0.997388158 -0.087675690	0.000000000 0.000000000 0.000000000 1.000000000
0.668588163 -0.021130664 0.743332606 -0.024646241	0.011804309 0.999771828 0.017803096 -0.085957578	-0.743539190 -0.003128411 0.668685043 0.674312521	0.000000000 0.000000000 0.000000000 1.000000000
0.997615718 0.022010873 -0.065409484 -0.008550821	-0.024055299 0.999241153 -0.030634314 0.150654270	0.064685561 0.032134718 0.997388158 -0.087675690	0.000000000 0.000000000 0.000000000 1.000000000
0.668588163 -0.021130664 0.743332606 -0.024646241	0.011804309 0.999771828 0.017803096 -0.085957578	-0.743539190 -0.003128411 0.668685043 0.674312521	0.000000000 0.000000000 0.000000000 1.000000000
0.997615718 0.022010873 -0.065409484 -0.008550821	-0.024055299 0.999241153 -0.030634314 0.150654270	0.064685561 0.032134718 0.997388158 -0.087675690	0.000000000 0.000000000 0.000000000 1.000000000
0.997615718 0.022010873 -0.065409484 -0.008550821	-0.024055299 0.999241153 -0.030634314 0.150654270	0.064685561 0.032134718 0.997388158 -0.087675690	0.000000000 0.000000000 0.000000000 1.000000000
0.988366916 0.049374030 0.143850773 -0.203524308	-0.015912509 0.974217242 -0.225050120 0.373542398	-0.151253535 0.220143066 0.963669756 -0.024965675	0.000000000 0.000000000 0.000000000 1.000000000
0.988366916 0.049374030 0.143850773 -0.203524308	-0.015912509 0.974217242 -0.225050120 0.373542398	-0.151253535 0.220143066 0.963669756 -0.024965675	0.000000000 0.000000000 0.000000000 1.000000000
0.988366916 0.049374030 0.143850773 -0.203524308	-0.015912509 0.974217242 -0.225050120 0.373542398	-0.151253535 0.220143066 0.963669756 -0.024965675	0.000000000 0.000000000 0.000000000 1.000000000
