0 1 0 0	0 0 -1 0	1 0 0 0	0 0 0 1	
-1.192093E-07 1 0 0	-1 -1.192093E-07 0 0	0 0 -1 0	0 0 0 1	
0.7398492 -0.0982887 -0.6655543 0	0.1514873 0.988204 0.02246014 0	-0.6554959 0.1174401 -0.7460114 0	0 0 0 1	
0.775867 -0.09901176 -0.6230788 0	0.1551387 0.9872254 0.03630375 0	-0.6115246 0.1248305 -0.7813162 0	0 0 0 1	
0.7852467 -0.09888086 -0.6112367 0	0.1597237 0.9861047 0.04567073 0	-0.5982274 0.1334918 -0.7901291 0	0 0 0 1	
0.7909039 -0.09835742 -0.6039841 0	0.1618937 0.9854626 0.0515159 0	-0.5901367 0.1385253 -0.7953297 0	0 0 0 1	
0.7959841 -0.09764761 -0.5973895 0	0.1633601 0.9849374 0.05667207 0	-0.5828574 0.1426997 -0.7999463 0	0 0 0 1	
0.8021656 -0.09637095 -0.5892733 0	0.1646933 0.9843169 0.06321646 0	-0.5739394 0.1477594 -0.8054569 0	0 0 0 1	
0.8057473 -0.09517331 -0.5845625 0	0.1653005 0.9839201 0.06765309 0	-0.568724 0.1511398 -0.8085232 0	0 0 0 1	
0.8088622 -0.09338566 -0.5805352 0	0.1658337 0.9834588 0.07285637 0	-0.5641286 0.1552031 -0.8109691 0	0 0 0 1	
0.8106787 -0.09178528 -0.5782521 0	0.1659094 0.9831662 0.07653931 0	-0.5614927 0.1579862 -0.81226 0	0 0 0 1	
0.8126537 -0.09001246 -0.5757532 0	0.165558 0.9829494 0.08000579 0	-0.5587347 0.1603375 -0.8136998 0	0 0 0 1	
0.8146793 -0.08807315 -0.5731848 0	0.1713107 0.9808391 0.09277584 0	-0.554031 0.1737752 -0.8141571 0	0 0 0 1	
0.8154546 -0.08705847 -0.5722365 0	0.1744986 0.9796039 0.09963167 0	-0.5518913 0.1810996 -0.8140141 0	0 0 0 1	
0.8152816 -0.08541796 -0.57273 0	0.1752341 0.9790794 0.1034244 0	-0.5519138 0.1846818 -0.8131936 0	0 0 0 1	
0.8155339 -0.08196057 -0.5728761 0	0.1753716 0.9783736 0.1096806 0	-0.5514973 0.1899144 -0.8122704 0	0 0 0 1	
0.8146499 -0.08020119 -0.5743808 0	0.1768034 0.9775915 0.1142602 0	-0.552346 0.1946345 -0.8105747 0	0 0 0 1	
0.8137616 -0.07862234 -0.5758564 0	0.1766641 0.9773873 0.116206 0	-0.5536984 0.1962972 -0.80925 0	0 0 0 1	
0.8155354 -0.07711779 -0.5735458 0	0.177077 0.9767985 0.1204507 0	-0.5509498 0.1997936 -0.8102696 0	0 0 0 1	
0.8156715 -0.07449418 -0.5736991 0	0.1763048 0.9765109 0.1238671 0	-0.5509961 0.2021808 -0.8096458 0	0 0 0 1	
0.8154677 -0.0727369 -0.5742141 0	0.1755483 0.9764235 0.1256185 0	-0.5515391 0.2032401 -0.8090106 0	0 0 0 1	
0.8153756 -0.06984636 -0.5747036 0	0.1744588 0.9761941 0.1288766 0	-0.5520207 0.2053449 -0.8081501 0	0 0 0 1	
0.8157539 -0.06701971 -0.5745032 0	0.1729246 0.9760939 0.1316727 0	-0.5519444 0.2067582 -0.8078418 0	0 0 0 1	
0.8157315 -0.06548284 -0.5747122 0	0.172186 0.9760188 0.1331885 0	-0.5522084 0.2076035 -0.8074446 0	0 0 0 1	
0.8156254 -0.06370617 -0.5750624 0	0.1711786 0.9759935 0.134665 0	-0.5526781 0.2082746 -0.8069502 0	0 0 0 1	
0.8163556 -0.06248594 -0.5741594 0	0.170019 0.9760791 0.1355106 0	-0.5519575 0.2082428 -0.8074514 0	0 0 0 1	
0.8182126 -0.06280521 -0.571475 0	0.1695343 0.9761718 0.1354502 0	-0.5493508 0.2077117 -0.8093637 0	0 0 0 1	
0.8210987 -0.06473662 -0.5671033 0	0.1699237 0.976223 0.1345905 0	-0.5449063 0.2068764 -0.8125757 0	0 0 0 1	
0.8239294 -0.06762838 -0.5626426 0	0.1710027 0.9762427 0.1330729 0	-0.5402762 0.2058561 -0.8159197 0	0 0 0 1	
0.8269832 -0.07220548 -0.5575708 0	0.1731549 0.9762239 0.1304005 0	-0.5348983 0.2043852 -0.8198235 0	0 0 0 1	
0.8325762 -0.08035852 -0.5480505 0	0.1776898 0.9758767 0.1268502 0	-0.5246363 0.2029954 -0.8267707 0	0 0 0 1	
0.8372259 -0.0892931 -0.5395178 0	0.1838693 0.9751051 0.123944 0	-0.5150192 0.2029699 -0.8328016 0	0 0 0 1	
0.8430282 -0.099969 -0.5284976 0	0.1914924 0.9739794 0.1212224 0	-0.5026273 0.2033972 -0.8402354 0	0 0 0 1	
0.849968 -0.1118921 -0.5148151 0	0.1999583 0.9725817 0.1187493 0	-0.4874127 0.2038746 -0.8490371 0	0 0 0 1	
0.8562133 -0.1276763 -0.5005972 0	0.2110724 0.9708706 0.1133963 0	-0.4715371 0.2027536 -0.8582213 0	0 0 0 1	
0.8589732 -0.1388755 -0.4928272 0	0.2193063 0.969545 0.1090284 0	-0.4626768 0.2017325 -0.8632694 0	0 0 0 1	
0.8612828 -0.1493797 -0.4856724 0	0.2275424 0.9680049 0.1057875 0	-0.4543307 0.2016241 -0.8677161 0	0 0 0 1	
0.8645852 -0.1601711 -0.4762748 0	0.2361068 0.9661801 0.1036802 0	-0.4435606 0.202092 -0.8731625 0	0 0 0 1	
0.8655481 -0.1677215 -0.4719067 0	0.2429487 0.9645786 0.1027814 0	-0.4379525 0.2036114 -0.8756369 0	0 0 0 1	
0.8662763 -0.1762006 -0.46746 0	0.251448 0.9623498 0.103232 0	-0.4316705 0.2069693 -0.877966 0	0 0 0 1	
0.8674319 -0.1812262 -0.4633779 0	0.2566274 0.9608314 0.1046206 0	-0.426268 0.2096667 -0.8799633 0	0 0 0 1	
0.8667741 -0.1858522 -0.4627759 0	0.2619961 0.9592892 0.1054623 0	-0.4243356 0.2126574 -0.8801796 0	0 0 0 1	
0.8663268 -0.1894743 -0.4621444 0	0.2661899 0.9580522 0.106203 0	-0.4226357 0.2150247 -0.8804224 0	0 0 0 1	
0.8660761 -0.1930879 -0.4611174 0	0.2709273 0.9564834 0.1083419 0	-0.4201317 0.2187617 -0.8807002 0	0 0 0 1	
0.8653481 -0.1934485 -0.4623314 0	0.2723685 0.9559048 0.1098242 0	-0.4206995 0.2209606 -0.8798797 0	0 0 0 1	
0.8635889 -0.190771 -0.4667125 0	0.2717914 0.9557897 0.1122298 0	-0.4246688 0.2237688 -0.8772593 0	0 0 0 1	
0.8593541 -0.181609 -0.4780467 0	0.2679316 0.9561337 0.1184102 0	-0.4355722 0.2298401 -0.8703163 0	0 0 0 1	
0.8558948 -0.1713734 -0.4879296 0	0.2636593 0.9562683 0.1266283 0	-0.4448909 0.2370276 -0.8636492 0	0 0 0 1	
0.8503856 -0.1596011 -0.50137 0	0.2603853 0.9556744 0.1374259 0	-0.4572131 0.2474143 -0.8542496 0	0 0 0 1	
